96	17	73	7	30
32	70	67	23	9
17	20	93	80	39
50	36	77	24	18
77	48	64	8	31
79	47	18	45	58
54	9	38	96	100
59	1	2	22	17
18	24	71	30	14
1	1	5	70	29
75	1	44	89	63
70	8	91	38	24
53	47	50	72	49
86	45	19	68	37
82	44	59	8	7
74	49	46	99	87
62	25	82	43	39
87	16	61	57	60
80	81	50	40	28
76	66	92	49	78
99	89	92	52	58
95	91	28	2	92
19	88	77	17	86
52	35	73	31	41
46	44	58	8	97
94	96	23	54	14
36	35	28	48	53
93	52	39	83	30
28	7	72	43	18
3	99	54	66	58
8	74	5	69	41
73	16	49	42	37
55	41	81	19	97
66	77	56	74	22
59	12	99	55	22
34	16	9	43	65
46	47	85	91	23
30	13	74	84	48
69	62	57	93	77
84	3	73	82	66
72	51	38	23	6
76	93	80	16	59
25	2	12	40	97
83	67	58	24	12
57	65	79	84	58
69	36	97	31	67
37	7	35	30	70
75	60	42	78	73
52	61	22	98	67
77	79	20	8	94
99	58	54	57	88
69	7	46	29	35
98	86	21	24	14
50	16	97	47	44
35	16	49	14	56
44	89	19	100	41
77	8	93	47	81
64	45	84	85	51
41	68	100	98	36
98	32	95	70	66
99	10	63	61	36
39	4	75	4	37
5	61	74	30	65
94	62	9	29	51
31	73	59	46	51
44	14	89	3	76
12	98	5	8	82
91	91	75	65	28
15	36	60	31	38
17	52	15	29	57
53	9	81	48	28
87	91	62	25	40
10	48	96	83	54
96	23	18	37	41
92	53	41	92	95
79	80	70	68	40
1	82	75	81	97
54	37	90	13	68
85	85	47	65	13
35	50	28	47	60
42	22	8	13	67
7	71	70	67	12
23	58	38	56	19
12	52	95	12	88
86	19	78	30	13
11	11	4	76	24
69	30	23	31	81
25	24	20	69	91
78	34	91	61	61
83	32	71	22	19
98	50	87	10	67
67	70	4	90	10
69	18	90	70	77
19	79	28	45	81
51	51	79	69	30
57	9	37	15	57
4	77	50	92	81
13	79	18	19	53
9	48	81	4	20
87	42	39	8	30
47	75	7	66	71
99	70	72	78	53
15	92	16	3	56
87	89	17	75	12
70	34	4	4	45
95	94	68	29	79
64	71	82	75	83
36	26	2	1	36
56	58	38	70	49
20	81	7	52	70
14	43	71	11	70
3	52	29	17	29
44	4	16	8	27
18	45	21	86	98
28	41	47	2	1
31	11	79	2	67
71	99	89	23	90
18	14	47	92	74
46	43	63	100	44
85	66	44	32	68
78	72	56	97	31
79	95	83	59	56
91	35	29	29	82
96	52	98	74	78
25	97	43	86	17
10	41	31	43	64
89	46	40	35	74
18	74	86	97	21
48	22	19	54	80
15	10	47	46	5
100	36	24	99	98
19	99	2	64	27
87	23	26	33	63
77	41	18	7	57
19	62	60	85	79
63	11	61	85	33
72	79	84	61	79
59	16	68	34	81
39	44	13	100	93
5	43	5	44	62
25	87	82	98	90
24	82	45	39	76
1	76	24	87	8
55	5	11	6	31
97	48	90	1	94
76	97	48	68	40
93	100	2	27	36
66	33	25	34	14
88	93	20	70	9
73	33	54	51	76
97	18	11	62	24
40	68	24	58	16
91	10	56	56	94
6	46	43	25	28
88	39	80	81	56
55	79	20	71	33
22	16	15	86	79
25	100	63	24	49
92	10	65	37	50
7	8	1	94	48
62	44	20	93	26
13	75	90	45	78
47	91	91	86	10
44	6	29	62	15
86	71	13	12	27
92	34	92	17	78
99	91	88	47	39
91	47	8	86	66
26	68	14	44	33
99	69	73	22	59
68	58	2	92	24
74	59	12	69	58
33	82	42	9	20
75	5	54	89	63
98	80	64	16	92
10	66	15	53	19
47	17	82	31	95
11	84	18	68	92
33	53	45	12	16
19	73	22	41	91
42	92	60	10	14
61	55	39	87	19
20	73	81	90	23
12	85	57	28	23
15	72	81	13	46
33	89	10	10	48
69	4	18	73	91
14	59	57	59	44
100	7	74	86	98
52	43	17	40	99
78	19	76	30	83
96	36	29	66	84
65	30	81	55	82
17	92	88	98	3
72	52	37	26	97
95	3	31	7	96
42	97	28	80	55
91	80	39	18	47
14	75	58	83	19
27	61	32	1	24
22	94	4	13	49
15	59	83	26	13
83	76	88	26	65
19	81	94	18	93
82	27	31	83	87
93	75	84	56	4
14	66	94	83	82
52	42	92	62	25
67	61	65	42	68
24	69	18	14	34
42	42	88	47	92
38	87	3	75	92
93	29	28	89	66
1	2	16	40	40
18	6	33	77	41
63	15	99	40	91
15	11	88	22	74
29	92	46	31	11
7	99	56	15	92
84	34	78	63	24
80	67	1	97	73
100	90	44	33	7
39	72	14	27	23
95	5	73	8	58
8	32	42	54	34
23	14	38	26	86
2	4	99	81	38
48	90	78	80	10
90	48	35	59	8
50	27	81	79	84
42	71	5	61	75
66	96	57	74	13
42	30	46	84	89
99	28	68	95	63
33	38	86	1	54
18	61	93	99	16
65	63	66	58	83
20	77	36	79	65
68	78	25	6	13
69	22	29	84	72
85	41	40	94	93
55	8	54	85	28
22	70	65	96	26
40	51	79	22	42
10	45	54	77	100
81	88	73	70	8
36	21	88	50	68
39	9	32	31	32
1	40	100	96	43
31	82	97	79	90
27	63	18	19	46
87	27	44	23	63
30	63	9	37	27
10	21	20	67	8
89	9	73	53	34
72	19	20	100	18
24	41	78	97	34
13	79	18	60	37
79	79	11	47	29
20	14	20	75	75
81	36	100	92	2
47	43	54	6	63
100	8	92	37	86
95	1	91	89	69
23	7	93	38	5
17	57	47	94	74
2	5	82	21	79
29	48	6	39	56
77	96	32	32	69
23	51	66	56	67
51	61	98	58	36
75	98	57	15	84
15	13	32	29	8
6	29	99	76	73
61	59	63	63	90
12	6	3	40	69
92	78	90	5	42
40	53	98	87	82
65	70	17	9	22
83	72	71	16	56
99	66	43	11	6
30	85	16	39	35
84	17	81	43	16
74	79	87	7	51
23	51	58	67	57
35	57	88	98	67
17	20	83	67	25
47	43	28	46	33
46	27	62	46	93
34	38	31	7	66
78	15	94	76	91
82	36	20	28	63
51	18	1	99	33
27	51	47	58	54
2	67	12	41	60
42	90	45	7	83
13	58	37	29	33
27	42	66	83	84
67	39	30	35	94
60	24	74	23	77
44	29	8	62	94
30	30	7	42	6
87	13	7	63	84
59	12	96	96	96
42	10	76	80	38
18	85	41	50	48
1	50	8	82	46
7	76	58	46	38
66	41	26	4	3
6	70	60	100	21
4	4	67	50	7
64	96	71	45	49
95	91	97	71	88
31	11	7	1	22
76	41	57	41	4
47	16	63	19	19
43	69	4	84	66
52	94	59	27	17
18	80	89	58	15
57	8	10	63	100
9	39	37	85	72
75	45	25	25	4
33	41	88	33	22
63	49	1	100	69
79	16	58	18	27
62	51	43	63	83
76	17	13	39	12
31	2	70	20	96
55	2	95	54	75
1	73	11	82	98
85	89	41	83	14
1	49	10	63	1
10	34	15	85	1
38	84	5	92	19
48	27	67	84	81
8	8	16	85	45
66	54	87	12	54
30	93	78	79	72
19	41	74	4	93
39	33	94	58	100
72	43	50	28	83
7	1	79	12	58
7	52	28	1	37
43	18	53	89	92
